epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6993,1.87271,4.28176,1.49031,0.00242,0.00098,0.00124,0.00017,1.61321,4.2463,1.16211,1.111e-05,1.111e-05,1.111e-05
2,31.2645,2.07963,4.29041,1.46267,0.00266,0.00131,0.00137,0.00031,1.59286,4.239,1.14562,3.3e-05,3.3e-05,3.3e-05
3,34.1456,1.80823,4.27086,1.47793,0.00222,0.00131,0.0012,0.00024,1.57421,4.22788,1.12623,5.44501e-05,5.44501e-05,5.44501e-05
4,36.8491,1.7742,4.21168,1.40418,0.00163,0.00098,0.00088,0.00024,1.56482,4.1809,1.09716,7.54602e-05,7.54602e-05,7.54602e-05
5,39.3947,1.8808,4.22835,1.29664,0.00206,0.00131,0.00108,0.00053,1.5713,4.11783,1.07671,9.60304e-05,9.60304e-05,9.60304e-05
6,42.338,1.72917,4.1186,1.22618,0.0019,0.00131,0.00097,0.00056,1.58448,4.07004,1.06595,0.000116161,0.000116161,0.000116161
7,44.9976,1.70002,4.02502,1.20588,0.00442,0.00327,0.00323,0.00178,1.64338,4.05005,1.07944,0.000135851,0.000135851,0.000135851
8,47.4947,1.69255,3.9246,1.1719,0.0067,0.0049,0.0044,0.00266,1.69466,4.04241,1.09602,0.000155101,0.000155101,0.000155101
9,49.9527,1.74143,3.85046,1.14248,0.00707,0.00556,0.00522,0.00312,1.71429,4.03856,1.11055,0.000173911,0.000173911,0.000173911
10,52.8198,1.68174,3.82688,1.1422,0.00534,0.00458,0.00447,0.00282,1.69727,4.03097,1.10356,0.000192282,0.000192282,0.000192282
11,55.2697,1.68469,3.74063,1.13231,0.00441,0.00458,0.00376,0.00252,1.65644,4.024,1.08468,0.000210212,0.000210212,0.000210212
12,57.9307,1.55648,3.60805,1.12087,0.00502,0.00556,0.00437,0.00278,1.63255,4.01666,1.07247,0.000227703,0.000227703,0.000227703
13,60.5094,1.7526,3.66357,1.10505,0.00837,0.00948,0.00895,0.00598,1.61537,4.00684,1.06055,0.000244753,0.000244753,0.000244753
14,63.0388,1.80824,3.61427,1.11414,0.01329,0.01471,0.01727,0.0114,1.62155,3.98678,1.05817,0.000261364,0.000261364,0.000261364
15,65.2672,1.70096,3.47865,1.09219,0.01739,0.0442,0.02258,0.01497,1.61835,3.9753,1.05456,0.000277534,0.000277534,0.000277534
16,67.6043,1.6925,3.42756,1.08961,0.02168,0.0611,0.02682,0.0177,1.65098,3.96596,1.06283,0.000293265,0.000293265,0.000293265
17,70.4414,1.95885,3.48816,1.10098,0.02428,0.06292,0.03066,0.01986,1.646,3.94588,1.05911,0.000308556,0.000308556,0.000308556
18,72.9771,1.82398,3.30113,1.0859,0.02583,0.06456,0.0319,0.01987,1.62918,3.91719,1.05359,0.000323407,0.000323407,0.000323407
19,75.567,1.74406,3.3095,1.07873,0.02862,0.0688,0.03402,0.02098,1.63586,3.90145,1.05777,0.000337817,0.000337817,0.000337817
20,78.1255,1.75207,3.18608,1.07011,0.03066,0.08194,0.0354,0.0211,1.64927,3.8953,1.06126,0.000351788,0.000351788,0.000351788
21,80.2205,1.70982,3.08545,1.06683,0.03045,0.07998,0.03685,0.02082,1.66565,3.88645,1.06702,0.000365319,0.000365319,0.000365319
22,82.6762,1.79096,3.1064,1.06544,0.03,0.08408,0.03718,0.02092,1.66362,3.86543,1.06751,0.00037841,0.00037841,0.00037841
23,85.6115,1.83733,3.06453,1.05384,0.03395,0.10987,0.04018,0.02317,1.64833,3.8328,1.06374,0.000391061,0.000391061,0.000391061
24,88.5335,1.84837,3.008,1.05907,0.03896,0.09784,0.04379,0.02674,1.6463,3.79802,1.0635,0.000403272,0.000403272,0.000403272
25,90.8798,1.73502,2.86856,1.07249,0.04934,0.1198,0.0609,0.03509,1.66696,3.7753,1.07205,0.000415043,0.000415043,0.000415043
26,93.4636,1.80636,2.81036,1.07239,0.05905,0.14086,0.06692,0.03734,1.67055,3.75895,1.08053,0.000426374,0.000426374,0.000426374
27,95.992,1.80279,2.68567,1.08121,0.06929,0.15946,0.07955,0.04445,1.67659,3.7317,1.0836,0.000437265,0.000437265,0.000437265
28,98.4403,1.79374,2.56943,1.08293,0.06929,0.15946,0.07955,0.04445,1.67659,3.7317,1.0836,0.000447716,0.000447716,0.000447716
29,100.97,1.72724,2.46035,1.05818,0.0807,0.18024,0.09258,0.05161,1.69174,3.66706,1.07411,0.000457728,0.000457728,0.000457728
30,103.624,1.77193,2.55968,1.06392,0.08194,0.15611,0.09985,0.05818,1.6548,3.58642,1.05838,0.000467299,0.000467299,0.000467299
31,106.073,1.82752,2.50997,1.06304,0.08194,0.15611,0.09985,0.05818,1.6548,3.58642,1.05838,0.00047643,0.00047643,0.00047643
32,108.662,1.80662,2.46239,1.04656,0.08231,0.14018,0.10311,0.05922,1.63542,3.51697,1.05194,0.000485121,0.000485121,0.000485121
33,111.044,1.74045,2.36182,1.07822,0.08223,0.11376,0.10467,0.05962,1.65563,3.47156,1.05865,0.000493373,0.000493373,0.000493373
34,113.542,1.92275,2.29141,1.06871,0.08223,0.11376,0.10467,0.05962,1.65563,3.47156,1.05865,0.000501184,0.000501184,0.000501184
35,116.175,1.94247,2.30333,1.05564,0.086,0.12226,0.10861,0.06144,1.65547,3.40519,1.05696,0.000508556,0.000508556,0.000508556
36,119.244,1.8017,2.15901,1.06495,0.08973,0.14226,0.11524,0.0638,1.66448,3.3279,1.05491,0.000515487,0.000515487,0.000515487
37,121.582,1.7998,2.27653,1.08568,0.08973,0.14226,0.11524,0.0638,1.66448,3.3279,1.05491,0.000521979,0.000521979,0.000521979
38,124.08,1.81075,2.18246,1.069,0.09073,0.14716,0.12326,0.06648,1.69221,3.27239,1.06454,0.000528031,0.000528031,0.000528031
39,126.711,1.71128,2.12035,1.06281,0.08954,0.17675,0.1394,0.07489,1.73441,3.21669,1.07657,0.000533642,0.000533642,0.000533642
40,129.109,1.76062,1.96246,1.04506,0.08954,0.17675,0.1394,0.07489,1.73441,3.21669,1.07657,0.000538814,0.000538814,0.000538814
41,131.269,1.86736,2.11791,1.03569,0.09199,0.21551,0.16159,0.08803,1.72252,3.1219,1.07686,0.000543546,0.000543546,0.000543546
42,133.512,1.83819,1.98551,1.0481,0.09756,0.28998,0.17788,0.09578,1.68198,3.0127,1.07045,0.000547837,0.000547837,0.000547837
43,136.2,1.79169,1.85794,1.07047,0.09756,0.28998,0.17788,0.09578,1.68198,3.0127,1.07045,0.000551689,0.000551689,0.000551689
44,138.676,1.78197,1.82363,1.03053,0.10017,0.33064,0.18189,0.09445,1.72546,2.90368,1.08689,0.000555101,0.000555101,0.000555101
45,141.104,1.76056,1.69041,1.02359,0.10017,0.33064,0.18189,0.09445,1.72546,2.90368,1.08689,0.000558073,0.000558073,0.000558073
46,143.65,1.69265,1.8443,1.03815,0.09455,0.30403,0.1736,0.08904,1.75798,2.75262,1.08703,0.000560605,0.000560605,0.000560605
47,146.026,1.7447,1.63172,1.0461,0.09455,0.30403,0.1736,0.08904,1.75798,2.75262,1.08703,0.000562697,0.000562697,0.000562697
