epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.982,1.86097,4.08265,1.50258,0.01725,0.03173,0.0222,0.01461,1.66447,3.62486,1.18737,1.111e-05,1.111e-05,1.111e-05
2,28.0528,2.08863,4.1066,1.47189,0.04664,0.02218,0.02163,0.01418,1.66761,3.62182,1.19149,3.3e-05,3.3e-05,3.3e-05
3,31.0222,1.80657,4.07754,1.5077,0.26662,0.01961,0.02721,0.0187,1.65921,3.34492,1.18597,5.44501e-05,5.44501e-05,5.44501e-05
4,34.2241,1.77839,3.63898,1.42347,0.05265,0.11347,0.05307,0.03326,1.62422,2.65251,1.14855,7.54602e-05,7.54602e-05,7.54602e-05
5,37.4146,1.81202,3.08033,1.26363,0.05412,0.17236,0.06737,0.03977,1.60101,1.96875,1.11852,9.60304e-05,9.60304e-05,9.60304e-05
6,40.3459,1.67625,2.32007,1.17324,0.49165,0.12582,0.09017,0.04862,1.59361,2.22134,1.10577,0.000116161,0.000116161,0.000116161
7,43.4638,1.64433,1.71173,1.15698,0.14084,0.19821,0.12668,0.0718,1.60682,4.4808,1.10098,0.000135851,0.000135851,0.000135851
8,46.7088,1.671,1.27267,1.13353,0.50772,0.19868,0.13853,0.06805,1.64537,5.52384,1.11237,0.000155101,0.000155101,0.000155101
9,49.1933,1.68818,1.20106,1.1269,0.49228,0.23509,0.13391,0.06519,1.6378,4.76311,1.11432,0.000173911,0.000173911,0.000173911
10,51.3651,1.64159,1.0984,1.13096,0.30058,0.24198,0.13618,0.06801,1.60482,3.59852,1.10764,0.000192282,0.000192282,0.000192282
11,53.2423,1.65052,1.02263,1.1345,0.43154,0.34677,0.22147,0.12075,1.62218,3.32019,1.11314,0.000210212,0.000210212,0.000210212
12,56.5714,1.53619,0.99647,1.13579,0.42371,0.41096,0.26916,0.15264,1.59915,3.46746,1.10545,0.000227703,0.000227703,0.000227703
13,59.9955,1.68672,0.97215,1.10657,0.45575,0.46298,0.28038,0.15457,1.62355,3.53088,1.11461,0.000244753,0.000244753,0.000244753
14,62.8674,1.70004,1.00323,1.10259,0.47661,0.46306,0.32649,0.17986,1.57648,3.1049,1.10435,0.000261364,0.000261364,0.000261364
15,65.9636,1.59952,0.94339,1.09563,0.47412,0.59705,0.38823,0.21365,1.61408,2.80149,1.12626,0.000277534,0.000277534,0.000277534
16,68.8278,1.57253,0.9708,1.10346,0.5137,0.63396,0.42261,0.23792,1.58649,2.35514,1.12148,0.000293265,0.000293265,0.000293265
17,71.9527,1.78833,1.01661,1.09921,0.38636,0.49927,0.42355,0.22719,1.59233,2.21344,1.12574,0.000308556,0.000308556,0.000308556
18,74.8814,1.64171,0.93812,1.09725,0.3255,0.53386,0.4034,0.1975,1.63179,2.22315,1.13714,0.000323407,0.000323407,0.000323407
19,77.6325,1.56944,0.95232,1.08563,0.42434,0.44536,0.41365,0.21215,1.58804,1.93606,1.12437,0.000337817,0.000337817,0.000337817
20,80.4599,1.60528,0.9121,1.0903,0.42984,0.39794,0.40874,0.21211,1.60665,1.80703,1.1327,0.000351788,0.000351788,0.000351788
21,83.3107,1.56614,0.88993,1.08902,0.37199,0.51414,0.41976,0.22118,1.60264,1.54131,1.13056,0.000365319,0.000365319,0.000365319
22,86.3069,1.61541,0.8791,1.08224,0.37653,0.51346,0.42126,0.2313,1.56697,1.39071,1.11311,0.00037841,0.00037841,0.00037841
23,89.2506,1.61845,0.84337,1.06357,0.3911,0.52158,0.45723,0.24923,1.54034,1.27399,1.09464,0.000391061,0.000391061,0.000391061
24,92.6697,1.62074,0.87192,1.05788,0.58392,0.59145,0.46671,0.255,1.54671,1.20486,1.09428,0.000403272,0.000403272,0.000403272
25,95.5911,1.55292,0.87577,1.0721,0.3574,0.59319,0.48499,0.2629,1.56503,1.15955,1.10158,0.000415043,0.000415043,0.000415043
26,98.2184,1.53699,0.86908,1.06268,0.33589,0.52305,0.44959,0.25255,1.60526,1.255,1.12145,0.000426374,0.000426374,0.000426374
27,100.619,1.56423,0.88237,1.0887,0.38539,0.5788,0.48231,0.27553,1.59648,1.18389,1.11264,0.000437265,0.000437265,0.000437265
28,102.923,1.48954,0.85714,1.0793,0.38539,0.5788,0.48231,0.27553,1.59648,1.18389,1.11264,0.000447716,0.000447716,0.000447716
29,105.109,1.49429,0.80374,1.07163,0.60059,0.55203,0.56061,0.32973,1.5795,1.03655,1.09988,0.000457728,0.000457728,0.000457728
30,107.748,1.54636,0.88298,1.07679,0.46026,0.65682,0.56607,0.32503,1.61234,0.98997,1.10981,0.000467299,0.000467299,0.000467299
31,109.999,1.53708,0.83794,1.05851,0.46026,0.65682,0.56607,0.32503,1.61234,0.98997,1.10981,0.00047643,0.00047643,0.00047643
32,112.366,1.49684,0.84432,1.04994,0.47288,0.60554,0.54624,0.30613,1.6365,1.03258,1.11884,0.000485121,0.000485121,0.000485121
33,114.717,1.52283,0.89826,1.08703,0.5573,0.63891,0.54931,0.31749,1.57442,1.0172,1.09877,0.000493373,0.000493373,0.000493373
34,117.797,1.59717,0.82997,1.05905,0.5573,0.63891,0.54931,0.31749,1.57442,1.0172,1.09877,0.000501184,0.000501184,0.000501184
