epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.31519,2.07011,4.26607,1.52746,0.00086,0.00065,0.00044,9e-05,1.57927,4.2909,1.19405,1.111e-05,1.111e-05,1.111e-05
2,9.00627,2.02942,4.2658,1.50742,0.00092,0.00065,0.00047,9e-05,1.56989,4.28857,1.18569,3.3e-05,3.3e-05,3.3e-05
3,11.5083,1.85165,4.2277,1.45174,0.00105,0.00065,0.00053,0.00013,1.54638,4.27285,1.16078,5.44501e-05,5.44501e-05,5.44501e-05
4,13.8429,1.73873,4.12188,1.41121,0.00056,0.00033,0.00029,9e-05,1.54777,4.2409,1.14048,7.54602e-05,7.54602e-05,7.54602e-05
5,16.2481,1.75842,4.06585,1.31429,0.00174,0.00098,0.00089,0.00015,1.58523,4.17759,1.13305,9.60304e-05,9.60304e-05,9.60304e-05
6,19.1505,1.79168,3.94227,1.24118,0.00301,0.00163,0.00159,0.00026,1.62218,4.09331,1.12632,0.000116161,0.000116161,0.000116161
7,22.0512,1.84729,3.77729,1.2164,0.00333,0.00163,0.00175,0.00038,1.64166,4.02207,1.12125,0.000135851,0.000135851,0.000135851
8,24.486,1.73086,3.49963,1.19756,0.00517,0.00229,0.00288,0.0006,1.68266,3.96284,1.13305,0.000155101,0.000155101,0.000155101
9,26.7405,1.74474,3.17696,1.15297,0.00491,0.00229,0.00272,0.00058,1.68547,3.91187,1.13066,0.000173911,0.000173911,0.000173911
10,29.0666,1.68286,2.98432,1.16472,0.01949,0.00882,0.01206,0.00666,1.70358,3.84782,1.13283,0.000192282,0.000192282,0.000192282
11,31.3269,1.75819,2.94875,1.14246,0.08,0.05948,0.07583,0.04116,1.70257,3.75858,1.12682,0.000210212,0.000210212,0.000210212
12,33.9755,1.9088,2.95423,1.14144,0.08859,0.10654,0.10271,0.05316,1.68763,3.65035,1.11248,0.000227703,0.000227703,0.000227703
13,36.3858,1.72513,2.42131,1.153,0.08081,0.1232,0.10746,0.05399,1.71034,3.54774,1.11413,0.000244753,0.000244753,0.000244753
14,38.8316,1.82589,2.4307,1.10685,0.07772,0.12712,0.11162,0.05561,1.7421,3.43877,1.12045,0.000261364,0.000261364,0.000261364
15,41.5567,1.81724,2.31941,1.12157,0.07298,0.12843,0.11333,0.05699,1.79031,3.32813,1.12961,0.000277534,0.000277534,0.000277534
16,44.475,1.76028,2.27881,1.11767,0.07132,0.13203,0.1079,0.05653,1.80985,3.20236,1.12552,0.000293265,0.000293265,0.000293265
17,47.4185,1.88832,2.16844,1.1016,0.0686,0.13922,0.09979,0.05307,1.78611,3.03727,1.11057,0.000308556,0.000308556,0.000308556
18,49.5662,1.70783,2.04569,1.10733,0.06641,0.14346,0.09558,0.05087,1.77116,2.8535,1.10693,0.000323407,0.000323407,0.000323407
19,51.7576,1.75224,2.05164,1.10575,0.07237,0.1753,0.10135,0.05371,1.7997,2.71323,1.11863,0.000337817,0.000337817,0.000337817
20,54.3385,1.95564,2.18222,1.09547,0.08242,0.22656,0.1128,0.06005,1.81315,2.61923,1.12669,0.000351788,0.000351788,0.000351788
