epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97903,1.83023,3.90741,1.46231,0.03367,0.06236,0.02364,0.01625,1.68515,3.67875,1.20522,1.111e-05,1.111e-05,1.111e-05
2,9.13977,2.09896,3.98193,1.45658,0.03303,0.07007,0.02346,0.01615,1.67732,3.68707,1.20646,3.3e-05,3.3e-05,3.3e-05
3,11.0565,1.83369,3.86344,1.47542,0.04687,0.06144,0.03709,0.02463,1.6569,3.16927,1.18728,5.44501e-05,5.44501e-05,5.44501e-05
4,14.1461,1.82377,3.1296,1.40024,0.1291,0.13079,0.11906,0.06486,1.60086,1.82948,1.14354,7.54602e-05,7.54602e-05,7.54602e-05
5,17.6929,1.9155,2.23675,1.28014,0.73408,0.13791,0.15438,0.08295,1.58136,2.02409,1.12498,9.60304e-05,9.60304e-05,9.60304e-05
6,20.9298,1.72571,1.86488,1.19757,0.52201,0.25084,0.16208,0.08844,1.58972,2.58068,1.12172,0.000116161,0.000116161,0.000116161
7,24.1415,1.69866,1.64956,1.2126,0.74191,0.22214,0.14677,0.08307,1.61477,1.95756,1.14728,0.000135851,0.000135851,0.000135851
8,27.0272,1.70312,1.43952,1.19342,0.7424,0.21842,0.16155,0.08822,1.63078,1.62784,1.14729,0.000155101,0.000155101,0.000155101
9,29.7195,1.70695,1.37357,1.17425,0.3313,0.21749,0.16939,0.09092,1.63455,1.64682,1.14414,0.000173911,0.000173911,0.000173911
10,32.9781,1.65984,1.20316,1.16461,0.33767,0.18837,0.17893,0.09502,1.62889,1.66272,1.13213,0.000192282,0.000192282,0.000192282
11,35.7984,1.65591,1.13883,1.16658,0.34994,0.22322,0.19558,0.1019,1.61893,1.75738,1.11285,0.000210212,0.000210212,0.000210212
12,38.5353,1.53193,1.09908,1.17151,0.15357,0.4049,0.22183,0.11714,1.61536,1.61709,1.10832,0.000227703,0.000227703,0.000227703
13,41.4168,1.69158,1.04443,1.13491,0.17254,0.54021,0.24444,0.13511,1.60544,1.38488,1.11054,0.000244753,0.000244753,0.000244753
