epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3903,2.08638,4.27253,1.52413,0.0025,0.00098,0.00129,0.00017,1.61299,4.24602,1.16295,1.111e-05,1.111e-05,1.111e-05
2,67.5162,2.10107,4.29538,1.52651,0.00195,0.00098,0.00103,0.00017,1.59226,4.24224,1.14801,3.3e-05,3.3e-05,3.3e-05
3,70.049,1.84381,4.25744,1.44145,0.00207,0.00131,0.00107,0.00037,1.56615,4.2258,1.11938,5.44501e-05,5.44501e-05,5.44501e-05
4,72.8266,1.72027,4.1891,1.39372,0.0019,0.00131,0.00098,0.00036,1.56413,4.19214,1.10398,7.54602e-05,7.54602e-05,7.54602e-05
5,75.6349,1.73937,4.15828,1.29651,0.00084,0.00065,0.00042,0.00021,1.58259,4.14551,1.09423,9.60304e-05,9.60304e-05,9.60304e-05
6,77.7807,1.73698,4.09067,1.22659,0.0019,0.00163,0.00098,0.00028,1.60008,4.09378,1.08364,0.000116161,0.000116161,0.000116161
7,108.029,1.801,4.06694,1.19748,0.00425,0.01262,0.00234,0.00117,1.61826,4.0628,1.07469,0.000135851,0.000135851,0.000135851
8,115.885,1.66942,3.91808,1.17633,0.00981,0.02687,0.00792,0.0049,1.6311,4.05362,1.06988,0.000155101,0.000155101,0.000155101
9,118.845,1.66542,3.8362,1.12725,0.01314,0.03112,0.01234,0.00791,1.63453,4.03702,1.06843,0.000173911,0.000173911,0.000173911
10,121.29,1.62346,3.73872,1.14121,0.01501,0.03438,0.01688,0.01046,1.645,4.02245,1.06966,0.000192282,0.000192282,0.000192282
11,124.108,1.67137,3.7433,1.11513,0.01612,0.03635,0.01976,0.01232,1.64505,4.01514,1.06689,0.000210212,0.000210212,0.000210212
12,126.801,1.80062,3.74276,1.11468,0.02068,0.04651,0.02405,0.01415,1.62568,3.99818,1.05631,0.000227703,0.000227703,0.000227703
13,129.946,1.6088,3.50826,1.11612,0.02134,0.04814,0.02531,0.01481,1.61984,3.99241,1.05347,0.000244753,0.000244753,0.000244753
14,132.256,1.71843,3.55153,1.08641,0.02547,0.07322,0.03029,0.01804,1.60283,3.97404,1.04508,0.000261364,0.000261364,0.000261364
15,134.276,1.72584,3.46196,1.10263,0.02662,0.0657,0.03233,0.01901,1.5986,3.96169,1.04232,0.000277534,0.000277534,0.000277534
16,136.519,1.65403,3.41426,1.10255,0.03253,0.12259,0.03728,0.02159,1.59897,3.95057,1.04194,0.000293265,0.000293265,0.000293265
17,139.428,1.78363,3.35788,1.08935,0.03282,0.11422,0.03802,0.02238,1.60264,3.93418,1.04241,0.000308556,0.000308556,0.000308556
18,143.603,1.62694,3.21066,1.09204,0.03388,0.12357,0.04003,0.0232,1.61629,3.9193,1.04596,0.000323407,0.000323407,0.000323407
19,147.835,1.65387,3.2151,1.08732,0.03489,0.12423,0.04154,0.02263,1.63827,3.91464,1.0547,0.000337817,0.000337817,0.000337817
20,150.687,1.89505,3.22673,1.09357,0.0368,0.13047,0.04283,0.02245,1.64824,3.89611,1.06122,0.000351788,0.000351788,0.000351788
21,153.133,1.84748,3.13109,1.0634,0.03556,0.11586,0.04242,0.02335,1.64403,3.8701,1.06138,0.000365319,0.000365319,0.000365319
